Word,Quantity
news,11
feed,1
this,2
is,2
an,7
example,2
of,5
a,12
text,2
that,2
spans,2
multiple,2
lines,2
and,2
should,2
be,2
processed,2
correctly,2
austin,2
private_ad,6
i'm,2
selling,3
slightly,2
used,2
bike,2
in,7
great,2
condition,2
contact,2
me,2
for,2
more,2
details,2
new,3
line,2
the,13
publication,2
actual,6
until,6
days,6
left,6
joke,6
why,6
don't,4
skeletons,2
fight,2
each,2
other,2
because,4
they,2
have,2
guts,2
hashtag,6
humor,2
fun,6
index,6
tourists,2
explored,2
awesome,2
church,2
hidden,2
inside,2
mountain,2
cave,2
covered,2
by,2
thick,2
forests,2
batangas,2
technological,1
breakthrough,1
tech,1
city,1
brand-new,2
laptop,1
did,4
computer,1
go,1
to,3
doctor,1
it,1
had,1
virus,1
funnyjoke,3
top,2
lego,2
builders,2
from,2
around,4
world,4
showcase,2
creations,2
at,3
annual,2
masterpiece,2
gallery,2
denmark,2
billund,2
magnificent,2
clifftop,2
towns,2
visit,2
travel,2
with,2
us,2
scarecrow,2
win,2
award,2
he,3
was,2
outstanding,2
his,2
field,2
global,1
temperatures,1
hit,1
record,1
high,1
sparking,1
concerns,1
among,1
scientists,1
climate,1
hub,1
limited,1
time,1
offer,1
get,1
coffee,1
maker,1
discounted,1
price,1
golfer,1
bring,1
extra,1
pair,1
socks,1
case,1
got,1
hole-in-one,1
golfhumor,1
