Word,Quantity
news,9
feed,1
this,2
is,2
an,5
example,2
of,4
a,11
text,2
that,2
spans,2
multiple,2
lines,2
and,2
should,2
be,2
processed,2
correctly,2
austin,2
private_ad,5
limited,1
time,1
offer,1
get,1
brand-new,3
coffee,1
maker,1
at,2
discounted,1
price,1
actual,5
until,5
days,5
left,5
joke,5
why,5
did,4
the,10
golfer,1
bring,1
extra,1
pair,1
socks,1
in,4
case,1
he,2
got,1
hole-in-one,1
hashtag,5
golfhumor,1
fun,5
index,5
i'm,1
selling,3
slightly,1
used,1
bike,1
great,1
condition,1
contact,1
me,1
for,1
more,1
details,1
new,3
line,1
publication,1
don't,2
skeletons,1
fight,1
each,1
other,1
because,2
they,1
have,1
guts,1
humor,1
tourists,1
explored,1
awesome,1
church,1
hidden,1
inside,1
mountain,1
cave,1
covered,1
by,1
thick,1
forests,1
batangas,1
magnificent,1
clifftop,1
towns,1
to,3
visit,1
around,2
world,2
travel,1
with,1
us,1
scarecrow,1
win,1
award,1
was,1
outstanding,1
his,1
field,1
funnyjokes,1
top,1
lego,1
builders,1
from,1
showcase,1
creations,1
annual,1
masterpiece,1
gallery,1
denmark,1
billund,1
technological,2
breakthrough,2
tech,2
city,2
laptop,2
computer,2
go,2
doctor,2
it,2
had,2
virus,2
funnyjoke,2
